TRBC2	A0A5B9
RBM47	A0AV96
TTC26	A0AVF1
FER1L5	A0AVI2
IGLC7	A0M8Q6
DHRS12	A0PJE2
FEZF1	A0PJY2
ANKRD20A5P	A0PJZ0
ARHGAP10	A1A4S6
SLC22A23	A1A5C7
ARHGEF37	A1IGU5
PXDNL	A1KZ92
MEX3A	A1L020
ERICH2	A1L162
UBE2QL1	A1L167
PLEKHG3	A1L390
PRSS38	A1L453
FSD2	A1L4K1
SH3PXD2B	A1X283
FAM92A1	A1XBS5
ZBTB7C	A1YPR0
MACROD2	A1Z1Q3
ZC3H12D	A2A288
FRMD3	A2A2Y4
ANKRD18B	A2A2Z9
PTPDC1	A2A3K4
TTC24	A2A3L6
PIPSL	A2A3N6
PPIAL4G	A2BFH1
HFM1	A2PYH4
ZNF320	A2RRD8
WDR27	A2RRH5
NBAS	A2RRP1
TARSL2	A2RTX5
HMX2	A2RU54
MYBPHL	A2RUH7
CCDC144A	A2RUR9
DENND3	A2RUS2
SSPO	A2VEC9
OR2M5	A3KFT3
VWA8	A3KMH1
PRAMEF22	A3QJZ6
LRRD1	A4D1F6
KLRG2	A4D1S0
RAB19	A4D1S5
PRSS37	A4D1T9
CDC14C	A4D256
OR2A25	A4D2G3
GRID2IP	A4D2P6
SH3D21	A4FU49
LRP5L	A4QPB2
POTEF	A5A3E0
CLEC18A	A5D8T8
PSMB11	A5LHX3
PSD	A5PKW4
RGSL1	A5PLK6
ANKRD34B	A5PLL1
HTR3E	A5X5Y0
CDHR4	A6H8M9
DPPA5	A6NC42
ANKRD62	A6NC57
nan	A6NCD1
KLHL33	A6NCF5
VWA3A	A6NCI4
TRIM43B	A6NCK2
ANKRD33B	A6NCL7
IQCA1L	A6NCM1
NKX2-6	A6NCS4
OR6C74	A6NCV1
OR14I1	A6ND48
LRIT2	A6NDA9
RBMY1B	A6NDE4
OR5H15	A6NDH6
TRIM49B	A6NDI0
nan	A6NDJ8
OR6C68	A6NDL8
nan	A6NDN8
nan	A6NDQ2
MEIS3P1	A6NDR6
ZNF840P	A6NDX5
BTBD17	A6NE02
KIAA1875	A6NE52
SOWAHB	A6NEL2
RBMY1E	A6NEQ0
OR5K3	A6NET4
ANTXRL	A6NF34
OR6C6	A6NF89
OR2W5	A6NFC9
FABP12	A6NFH5
ZNF316	A6NFI3
RBFOX3	A6NFN3
ANKUB1	A6NFN9
DPRX	A6NFQ7
ZSCAN5C	A6NGD5
ANKRD61	A6NGH8
TRIM64	A6NGJ6
PRAMEF25	A6NGN4
IGLON5	A6NGN9
OOEP	A6NGQ2
OR51F1	A6NGY5
OR2T8	A6NH00
ARL5C	A6NH57
OR4C46	A6NHA9
CAPN8	A6NHC0
DDTL	A6NHG4
OR5H14	A6NHG9
ZNF860	A6NHJ4
TUBAL3	A6NHL2
OTOL1	A6NHN0
FBLL1	A6NHQ2
SMCHD1	A6NHR9
HMX3	A6NHT5
ANKDD1B	A6NHY2
TRIM64B	A6NI03
ARHGAP42	A6NI28
POTEM	A6NI47
NCF1B	A6NI72
LILRA5	A6NI73
PRSS29P	A6NIE9
UNC119B	A6NIH7
OR6C70	A6NIJ9
LRRC10B	A6NIK2
SLC15A5	A6NIM6
AGAP5	A6NIR3
LRRIQ4	A6NIV6
WTIP	A6NIX2
nan	A6NIZ1
IGHV4OR15-8	A6NJ16
NKX6-3	A6NJ46
SOWAHD	A6NJG2
ARGFX	A6NJG6
LRRC72	A6NJI9
ZSCAN5B	A6NJL1
IGHV1OR21-1	A6NJS3
UNCX	A6NJT0
LRRC3C	A6NJW4
CD8BP	A6NJW9
OR6C65	A6NJZ3
RIMBP3C	A6NJZ7
TRIM75P	A6NK02
ZNF233	A6NK53
ASB14	A6NK59
ZNF98	A6NK75
FCGR1C	A6NKC4
SH2D7	A6NKC9
SAC3D1	A6NKF1
OR5H1	A6NKK0
SDR42E2	A6NKP2
CGB1	A6NKQ9
RGPD3	A6NKT7
nan	A6NKZ8
OR6C75	A6NL08
OR5B21	A6NL26
AQP7P3	A6NL99
nan	A6NLB4
nan	A6NLC8
TCEB3CL2	A6NLF2
TRIM64C	A6NLI5
C2CD4B	A6NLJ0
TTC36	A6NLP5
RFPL4A	A6NLU0
VSTM2B	A6NLU5
DUXA	A6NLW8
OR2AG2	A6NM03
AQP12B	A6NM10
LRRC37A2	A6NM11
ZFP92	A6NM28
LRRC30	A6NM36
LRRC53	A6NM62
OR6C76	A6NM76
FIGNL2	A6NMB9
nan	A6NMC2
OR5K4	A6NMS3
LRRC37A	A6NMS7
DBX1	A6NMT0
OR52A4P	A6NMU1
PRAMEF23	A6NMV5
ANXA2P2	A6NMY6
SNTN	A6NMZ2
COL6A6	A6NMZ7
ZNF729	A6NN14
DRGX	A6NNA5
OR2AT4	A6NND4
ZNF726	A6NNF4
RIMBP3B	A6NNM3
SLC38A8	A6NNN8
DHRS7C	A6NNS2
nan	A6NNZ2
ZNF716	A6NP11
LRRIQ3	A6PVS8
BTBD11	A6QL63
ANKRD36	A6QL64
ANKRD30BL	A7E2S9
MYH7B	A7E2Y1
ARHGAP32	A7KAX9
MEIS3P2	A8K0S8
A2ML1	A8K2U0
CD300LB	A8K4G0
CLCA1	A8K7I4
EFCAB7	A8K855
ZNF785	A8K8V0
ERI2	A8K979
GABRR3	A8MPY1
ZNF850	A8MQ14
NEURL1B	A8MQ27
nan	A8MQB9
RHPN2P1	A8MT19
ZNF891	A8MT65
STRA13	A8MT69
nan	A8MT79
CTGLF11P	A8MT82
CEACAM18	A8MTB9
PRSS47	A8MTI9
GNAT3	A8MTJ3
IQCF5	A8MTL0
HMSD	A8MTL9
NOTO	A8MTQ0
ZNF724P	A8MTY0
SMTNL1	A8MU46
PDZK1P1	A8MUH7
LGALS16	A8MUM7
ZNF727	A8MUV8
SERPINE3	A8MV23
MPTX1	A8MV57
SKINTL	A8MVG2
ZNF705F	A8MVS1
HIDE1	A8MVS5
NCF1C	A8MVU1
ARHGEF33	A8MVX0
BTNL10	A8MVZ5
SNRPGP15	A8MWD9
FADS2P1	A8MWK0
KIR3DP1	A8MWS1
nan	A8MXB1
VSTM5	A8MXK1
nan	A8MXQ7
ZNF99	A8MXY4
nan	A8MYG8
TTC34	A8MYJ7
KCNU1	A8MYU2
EVPLL	A8MZ36
COL6A5	A8TX70
KPNA7	A9QM74
FER1L4	A9Z1Z3
MYO1G	B0I1T2
FHAD1	B1AJZ9
ESPN	B1AK53
WDR64	B1ANS9
ZNF487	B1APH4
CENPBD1	B2RD01
OR11H12	B2RN74
C1QTNF9B	B2RNN3
HMGB1P1	B2RPK0
MYO9A	B2RTY4
POTEC	B2RU33
ZBTB42	B2RXF5
KDM4E	B2RXH2
BTBD18	B2RXH4
ZNF879	B4DU55
ZNF736	B4DX44
ZNF732	B4DXR9
ANKRD66	B4E2M5
TDRD15	B5MCY1
TARM1	B6A8C7
KCNJ18	B7U540
ZNF814	B7Z6K7
TRDC	B7Z8K6
KIF28P	B7ZC32
IGLL5	B9A064
TRIM49D1	C9J1S8
BTBD19	C9JJ37
ZNF878	C9JN71
KBTBD13	C9JR72
ANKRD63	C9JTQ0
KLRF2	D3W0D1
PRSS46	E5RG02
ANKRD65	E5RJM6
PRSS44	E7EML9
RNF223	E7ERA6
ZNF587B	E7ETH6
PPP5D1	E7EU14
NACA	E9PAV3
ANHX	E9PGG2
UBAP1L	F5GYI3
PPIAL4D	F5H284
RFPL4AL1	F8VTS6
PRAMEF26	H0Y7S4
POTEB2	H3BUK9
TRIM77	I1YAP6
OVOL3	O00110
UBXN8	O00124
KIF2A	O00139
SGK1	O00141
FZD9	O00144
DDX39A	O00148
PDLIM1	O00151
ACOT7	O00154
GPR25	O00155
MYO1C	O00159
MYO1F	O00160
AIP	O00170
CCL24	O00175
KCNK1	O00180
LGALS9	O00182
MASP2	O00187
ARVCF	O00192
RAB27B	O00194
TLR4	O00206
RHOD	O00212
APBB1	O00213
LGALS8	O00214
NFKBIE	O00221
GRM8	O00222
PSMD12	O00232
BMPR1B	O00238
SIRPB1	O00241
ATOX1	O00244
F2RL2	O00254
MEN1	O00255
CBX4	O00257
SUPT5H	O00267
GPR31	O00270
DFFA	O00273
HIP1	O00291
LEFTY2	O00292
CLIC1	O00299
TNFRSF11B	O00300
WWP2	O00308
CDC7	O00311
ETV2	O00321
ARNTL	O00327
PIK3CD	O00329
MATN2	O00339
QSOX1	O00391
FOXN3	O00409
IPO5	O00410
POLRMT	O00411
EEF2K	O00418
CCRL2	O00421
IGF2BP3	O00425
DNM1L	O00429
PIK3C2A	O00443
PLK4	O00444
SYT5	O00445
PIK3R2	O00459
TRAF5	O00463
AGRN	O00468
MEIS1	O00470
ELL2	O00472
BTN3A3	O00478
BTN3A1	O00481
NR5A2	O00482
ZNF593	O00488
BIN1	O00499
KPNA3	O00505
STK25	O00506
USP9Y	O00507
KRIT1	O00522
CHL1	O00533
VWA5A	O00534
CACNA1A	O00555
SDCBP	O00560
NOP56	O00567
DDX3X	O00571
CXCR6	O00574
CCL21	O00585
ACKR2	O00590
GABRP	O00591
FCN1	O00602
PEX12	O00623
PIR	O00625
CCL22	O00626
PEX7	O00628
KPNA4	O00629
TRIM38	O00635
PPP6C	O00743
NME4	O00746
PIK3C2B	O00750
FBP2	O00757
UBE2C	O00762
ACACB	O00763
SH2B2	O14492
PPAP2A	O14494
ISLR	O14498
