gene,dNdS,Interacting?,Pval
A1BG,0.3577172,Interacting,5.69E-05
A1CF,0.2110105,Interacting,6.96E-13
A2ML1,0.3875509,Non-interacting,0.0749771
A4GALT,0.1095376,Non-interacting,0.1685979
A4GNT,0.2895678,Non-interacting,0.2820865
AAAS,0.1722821,Non-interacting,0.4022459
AACS,0.1923292,Non-interacting,0.9580867
AADACL2,0.443119,Interacting,0.3139918
AADACL3,0.5921857,Interacting,6.28E-05
AADACL4,0.4553538,Interacting,0.000255782
AADAT,0.3268703,Non-interacting,0.0513223
AAED1,0.306183,Non-interacting,0.3188066
AAGAB,0.1995443,Non-interacting,1
AAK1,0.1391374,Interacting,0.03134199
AAMP,0.03308295,Non-interacting,1
AANAT,0.1501981,Non-interacting,0.8920249
AAR2,0.08875065,Non-interacting,1
AARD,0.722729,Non-interacting,0.1759432
AARS,0.1249695,Non-interacting,1
AARSD1,0.2049903,Non-interacting,0.1573413
AASDH,0.422839,Non-interacting,0.00314223
AASDHPPT,0.1359966,Interacting,1
AATF,0.2553748,Non-interacting,0.1221985
AATK,0.1814597,Interacting,0.06918691
ABCA1,0.09802166,Interacting,1
ABCA12,0.1739509,Interacting,0.7028481
ABCA2,0.03125197,Interacting,0.2793643
ABCA3,0.09985275,Interacting,0.5816791
ABCA4,0.1523389,Non-interacting,0.1175954
ABCA5,0.2082663,Interacting,0.7846576
ABCA6,0.5932389,Interacting,2.22E-10
ABCA7,0.2265214,Interacting,0.002988847
ABCA8,0.4232804,Interacting,0.000613411
ABCB1,0.3172707,Interacting,4.75E-13
ABCB11,0.2126336,Interacting,0.05610605
ABCB4,0.2212041,Interacting,0.001603523
ABCB5,0.2784778,Interacting,0.004323786
ABCB8,0.161251,Interacting,0.05429911
ABCB9,0.06265344,Interacting,1
ABCC1,0.1263602,Interacting,0.02209592
ABCC10,0.2148733,Interacting,0.003914415
ABCC11,0.387804,Interacting,3.87E-05
ABCC12,0.2204643,Interacting,0.1018169
ABCC2,0.3404955,Interacting,0.2381223
ABCC4,0.2010798,Interacting,1
ABCC5,0.04865233,Interacting,0.06182815
ABCC6,0.2262126,Interacting,0.009841463
ABCC8,0.05469402,Interacting,0.1482387
ABCC9,0.1722561,Interacting,6.51E-14
ABCD2,0.1330452,Interacting,0.1813297
ABCD3,0.1345032,Non-interacting,2.68E-10
ABCE1,0.01895583,Interacting,0.001811234
ABCF3,0.05355391,Interacting,0.0318242
ABCG1,0.02532312,Interacting,1
ABCG4,0.03282595,Interacting,1
ABCG5,0.3181331,Interacting,0.04541747
ABCG8,0.262367,Interacting,0.009637993
ABHD1,0.5644776,Non-interacting,0.000126201
ABHD10,0.4081111,Non-interacting,0.3670639
ABHD12,1.208462,Non-interacting,0.002800137
ABHD12B,0.3587437,Interacting,1
ABHD13,0.03863205,Non-interacting,1
ABHD14A,0.2721271,Non-interacting,1
ABHD14B,0.3761517,Interacting,0.000620766
ABHD15,0.1283093,Non-interacting,1
ABHD16A,0.06782079,Non-interacting,0.1954469
ABHD16B,0.08928842,Non-interacting,0.1692773
ABHD17B,0.07994118,Interacting,3.43E-08
ABHD17C,0.04536765,Non-interacting,0.2967044
ABHD18,0.2090757,Non-interacting,0.4137365
ABHD2,0.04579063,Non-interacting,1
ABHD3,0.2146333,Non-interacting,0.009225846
ABHD4,0.07346628,Non-interacting,0.1372839
ABHD5,0.1255706,Non-interacting,0.05998816
ABHD6,0.05230328,Non-interacting,1
ABHD8,0.0355103,Non-interacting,1
ABI1,0.02313278,Interacting,1
ABI2,0.06087795,Interacting,1
ABI3,0.1433542,Interacting,0.1387655
ABI3BP,0.2733117,Non-interacting,0.1186707
ABL1,0.09870572,Interacting,0.1524493
ABL2,0.1503571,Interacting,0.7281425
ABLIM1,0.1830272,Non-interacting,0.004568885
ABLIM2,0.1395872,Interacting,0.09318368
ABLIM3,0.03654772,Non-interacting,0.1012572
ABO,0.3226163,Non-interacting,0.000737668
ABR,0.04929028,Non-interacting,1
ABRA,0.2557367,Non-interacting,0.01218774
ABRAXAS1,0.3442806,Non-interacting,0.003122042
ABRAXAS2,0.1008027,Non-interacting,0.09363051
ABT1,0.1859412,Non-interacting,1
ABTB1,0.06381996,Interacting,0.2898788
ABTB2,0.03462381,Interacting,0.05396266
ACAA1,0.1086061,Non-interacting,1
ACAA2,0.222649,Non-interacting,0.2453666
ACACA,0.04910854,Non-interacting,0.2437587
ACACB,0.1050473,Non-interacting,0.1485684
ACAD10,0.2961977,Non-interacting,0.03356932
ACAD11,0.3226603,Non-interacting,0.06622569
ACAD8,0.2139372,Non-interacting,0.7627834
ACAD9,0.2293172,Non-interacting,0.02718351
ACADL,0.2704494,Non-interacting,0.01162425
ACADM,0.2132274,Interacting,0.08028929
ACADS,0.07644246,Non-interacting,0.003651209
ACADSB,0.27302,Non-interacting,0.03250327
ACADVL,0.2476086,Non-interacting,0.002038424
ACAN,0.335938,Interacting,0.005898036
ACAP1,0.1030508,Interacting,0.9117629
ACAP2,0.07021586,Interacting,1
ACAP3,0.053581,Interacting,0.179495
ACAT1,0.1999529,Non-interacting,1
ACAT2,0.2569049,Non-interacting,1
ACBD3,0.1994858,Non-interacting,1
ACBD4,0.6656865,Interacting,1.39E-06
ACBD5,0.3277313,Non-interacting,0.01335471
ACBD6,0.2151346,Interacting,0.8314753
ACCS,0.2633036,Non-interacting,0.1506368
ACD,0.637932,Non-interacting,1.01E-11
ACE,0.1725408,Interacting,0.004402051
ACE2,0.4883408,Interacting,2.80E-05
ACER1,0.2420465,Non-interacting,0.9140692
ACER2,0.09317373,Non-interacting,0.2244513
ACER3,0.2677491,Non-interacting,0.338402
ACHE,0.1806806,Non-interacting,1.31E-06
ACKR2,0.2810287,Non-interacting,0.2522097
ACKR3,0.0263453,Non-interacting,1
ACKR4,0.2344665,Non-interacting,1
ACLY,0.04243778,Non-interacting,1
ACMSD,0.2003464,Non-interacting,1
