gene,Pval corrected,Int?
LRRFIP1,1.48E-165,Non-interacting
KIAA1958,3.46E-132,Non-interacting
MAMLD1,3.34E-112,Non-interacting
FMN1,9.17E-112,Non-interacting
IL1RAP,4.28E-98,Interacting
NEB,1.56E-89,Interacting
KCNK16,4.36E-72,Non-interacting
XBP1,3.43E-71,Non-interacting
MEF2C,2.06E-63,Interacting
ZNF428,6.00E-60,Non-interacting
OFCC1,7.84E-60,Non-interacting
RMDN2,1.24E-59,Non-interacting
MASP1,1.44E-58,Non-interacting
MUC22,1.83E-55,Non-interacting
MUC17,8.89E-48,Non-interacting
MPDU1,1.30E-41,Non-interacting
ZNF208,2.48E-40,Non-interacting
RLF,6.26E-40,Interacting
PRDM7,3.12E-39,Non-interacting
ACY1,7.71E-39,Non-interacting
MYO18A,8.91E-39,Non-interacting
ELMOD3,4.12E-38,Non-interacting
PLIN2,1.13E-37,Non-interacting
FABP7,3.15E-37,Non-interacting
MEIS1,7.73E-35,Interacting
N4BP2L2,1.58E-33,Non-interacting
HEXDC,2.93E-33,Non-interacting
C10orf67,2.95E-33,Non-interacting
LINC01552,2.95E-33,Non-interacting
INSL3,7.92E-33,Non-interacting
PTPRC,7.92E-33,Interacting
TMEM234,1.88E-31,Non-interacting
P4HA1,2.34E-31,Non-interacting
DSG1,4.37E-31,Non-interacting
FBXO44,1.33E-30,Non-interacting
FLG2,1.62E-30,Non-interacting
NOS1AP,2.29E-30,Non-interacting
C5orf38,1.34E-29,Non-interacting
CHMP1B,3.18E-29,Non-interacting
PPP1R12A,1.13E-28,Interacting
GPR137,6.57E-28,Non-interacting
TRIM5,7.88E-28,Interacting
QRICH2,1.38E-27,Non-interacting
IYD,1.99E-27,Non-interacting
PEX26,3.14E-27,Non-interacting
EMP1,4.23E-27,Non-interacting
UBL4A,8.95E-27,Interacting
HTR3E,9.08E-27,Interacting
HHLA2,1.06E-26,Interacting
MYBBP1A,1.06E-26,Interacting
AOAH,3.26E-26,Non-interacting
PARP14,4.38E-26,Interacting
H2AFY,1.16E-25,Interacting
PLEKHA1,2.48E-25,Non-interacting
C11orf88,2.49E-25,Non-interacting
